carat,cut,color,clarity,depth,table,price,x,y,z
1.01,Premium,H,SI2,59.6,60,3665,6.5,6.55,3.89
1.19,Ideal,H,I1,61.5,57,3665,6.79,6.83,4.19
1.27,Very Good,I,I1,60.2,62,3665,7,7.05,4.23
0.91,Premium,E,SI1,62.2,58,3665,6.29,6.18,3.86
1.01,Good,J,SI1,63.6,54,3665,6.44,6.36,4.07
0.91,Very Good,J,VS1,62.1,55,3666,6.16,6.24,3.85
0.9,Good,I,VS1,63.5,61,3666,5.96,6.01,3.8
0.73,Ideal,G,VVS1,61.3,56,3667,5.79,5.82,3.56
0.7,Very Good,D,VS2,60.6,60,3668,5.71,5.75,3.47
0.78,Very Good,D,VS2,62.2,56,3668,5.85,5.91,3.66
1.03,Premium,F,SI2,62.2,60,3668,6.47,6.45,4.02
0.74,Ideal,D,VS2,61.4,58,3668,5.8,5.83,3.57
1.03,Very Good,F,SI2,63.1,57,3668,6.42,6.38,4.04
0.73,Very Good,F,VVS2,63.8,59,3669,5.69,5.72,3.64
0.95,Premium,J,VVS2,62.6,59,3669,6.23,6.26,3.91
0.85,Very Good,D,SI1,60.3,57,3669,6.09,6.22,3.71
0.73,Ideal,G,VVS1,61.9,57,3669,5.76,5.8,3.58
0.9,Good,G,SI1,57.7,65,3669,6.25,6.29,3.62
0.9,Good,G,SI1,65.2,58,3669,6,6.06,3.93
1.04,Premium,J,SI2,62,59,3669,6.49,6.47,4.02
0.91,Premium,H,SI1,62.8,58,3669,6.16,6.13,3.86
0.9,Good,G,SI1,63.7,60,3669,6.11,6.07,3.88
0.91,Premium,I,VS1,61.9,57,3669,6.24,6.19,3.85
0.9,Very Good,G,SI1,63.1,59,3669,6.15,6.11,3.87
0.9,Good,I,IF,63.7,64,3669,6.07,6.02,3.85
0.9,Good,G,SI1,63.7,58,3669,6.12,6.09,3.89
0.9,Good,H,VS1,64,59,3669,6.05,6.01,3.86
0.9,Good,G,SI1,63.8,59,3669,6.08,6.05,3.87
0.9,Very Good,G,SI1,63.2,59,3669,6.1,6.05,3.84
0.9,Premium,G,SI1,62,61,3669,6.13,6.07,3.78
1.12,Premium,I,SI2,61.2,58,3669,6.72,6.68,4.1
1,Fair,F,SI1,66.7,57,3669,6.07,5.99,4.02
1.04,Ideal,H,SI2,62,57,3669,6.53,6.43,4.02
0.91,Ideal,I,VS1,62.5,55,3669,6.25,6.2,3.89
0.9,Premium,G,SI1,61.9,59,3669,6.18,6.13,3.81
1.12,Fair,I,SI2,64.6,57,3669,6.5,6.47,4.19
1.17,Premium,H,I1,62.8,58,3669,6.71,6.69,4.21
1.13,Ideal,H,I1,61.1,56,3669,6.77,6.71,4.12
0.91,Premium,H,SI1,62.2,60,3669,6.22,6.16,3.85
1.04,Ideal,I,SI1,59.7,56,3669,6.6,6.54,3.92
0.9,Premium,G,SI1,62.6,62,3669,6.08,6.06,3.8
0.71,Very Good,D,VVS2,62.7,59,3670,5.64,5.69,3.55
0.85,Ideal,G,SI1,62.2,56,3670,6.04,6.09,3.77
1.13,Ideal,H,SI2,60.6,57,3670,6.79,6.77,4.11
1.01,Premium,H,SI2,63,59,3671,6.33,6.27,3.97
1.01,Fair,G,SI1,66.1,56,3671,6.26,6.2,4.12
1.01,Good,D,SI2,63.8,61,3671,6.13,6.06,3.89
0.76,Ideal,G,VVS1,62,54.7,3671,5.83,5.87,3.62
0.78,Ideal,E,SI1,60.4,57,3671,5.95,6,3.61
1.01,Very Good,D,SI2,59.1,63,3671,6.59,6.54,3.88
0.95,Premium,G,SI2,60.5,62,3671,6.44,6.36,3.88
0.78,Very Good,D,VS2,59.8,60,3672,5.97,6.03,3.59
1,Good,F,SI2,60.6,62,3672,6.36,6.45,3.88
1.06,Premium,J,SI2,61.3,60,3672,6.52,6.59,4.02
1.05,Premium,F,SI2,61.1,59,3672,6.54,6.61,4.02
0.7,Ideal,G,IF,60.2,57,3672,5.78,5.84,3.5
0.8,Very Good,G,VS1,62.7,56,3673,5.9,5.94,3.71
0.73,Ideal,D,VS2,62.3,54,3673,5.77,5.8,3.6
0.82,Premium,G,SI1,61.8,58,3674,6.02,5.98,3.71
0.71,Ideal,D,SI1,61.4,56,3674,5.7,5.74,3.51
0.71,Ideal,D,SI1,60.6,56,3674,5.78,5.81,3.51
0.96,Fair,E,SI2,57.7,67,3674,6.49,6.46,3.73
1.01,Premium,E,SI2,62.3,55,3674,6.35,6.29,3.94
1,Ideal,F,SI2,61.1,54,3674,6.51,6.47,3.97
0.81,Premium,E,VS2,61.5,58,3674,5.99,5.94,3.97
1.01,Very Good,E,SI2,63.3,58,3674,6.4,6.31,4.02
0.92,Premium,H,SI1,62.2,58,3675,6.19,6.23,3.86
1.03,Premium,D,SI2,62.3,58,3675,6.5,6.4,4.03
0.79,Ideal,H,VVS1,62,56,3675,5.92,5.96,3.68
0.63,Premium,E,VS1,60.5,57,3675,5.58,5.53,3.36
1,Good,G,SI2,63.4,60,3676,6.22,6.34,3.98
1.01,Premium,H,SI2,60.3,59,3676,6.51,6.45,3.91
1.01,Fair,H,VS1,67.1,59,3676,6.16,6.09,4.11
1.01,Premium,H,SI2,61.6,60,3676,6.22,6.18,3.82
1.01,Very Good,I,SI1,63.2,55,3676,6.4,6.32,4.02
1.01,Good,I,SI1,64.1,59,3676,6.24,6.21,3.99
0.9,Ideal,J,IF,62.2,57,3677,6.17,6.14,3.83
0.9,Ideal,I,VS1,61.6,56,3677,6.22,6.16,3.81
1.13,Ideal,H,I1,62.2,55,3678,6.65,6.69,4.15
1.1,Ideal,F,I1,61.8,56,3678,6.61,6.65,4.1
1.1,Very Good,F,I1,59.8,61,3678,6.65,6.7,3.99
0.9,Very Good,F,SI1,63.6,58,3679,6.1,6.13,3.89
0.75,Ideal,D,VS2,61.1,55,3679,5.87,5.89,3.6
0.92,Very Good,E,SI2,63.2,54,3679,6.29,6.25,3.96
1,Good,J,SI1,63.9,60,3679,6.26,6.19,3.98
0.9,Ideal,F,SI2,62.3,57,3679,6.19,6.17,3.85
0.9,Premium,H,SI1,62,62,3679,6.13,6.03,3.77
0.31,Very Good,I,VVS1,62.2,60,571,4.3,4.32,2.68
0.31,Premium,D,SI1,60.9,60,571,4.38,4.39,2.67
0.31,Good,D,SI1,63.5,55,571,4.27,4.3,2.72
0.31,Ideal,D,SI1,62.4,53,571,4.33,4.35,2.71
0.28,Very Good,E,VVS2,64,54,572,4.11,4.17,2.65
0.28,Very Good,E,VVS2,60.1,62,572,4.25,4.27,2.56
0.28,Very Good,F,VVS1,58.9,62,572,4.27,4.32,2.53
0.38,Ideal,J,VS2,62.3,55,572,4.63,4.65,2.89
0.24,Ideal,F,VS1,62.7,54,572,3.99,4.02,2.51
0.24,Ideal,F,VS1,61.8,54,572,3.99,4.03,2.48
0.37,Ideal,F,SI2,60.9,56,572,4.65,4.68,2.84
0.3,Ideal,H,SI1,61.6,57,572,4.28,4.32,2.65
0.33,Premium,I,SI1,62.8,58,572,4.43,4.39,2.77
0.33,Ideal,I,SI1,62.7,56,572,4.44,4.4,2.77
0.33,Ideal,I,SI1,61.5,57,572,4.49,4.46,2.75
0.33,Premium,I,SI1,61.4,58,572,4.5,4.46,2.75
0.33,Premium,I,SI1,61.3,59,572,4.51,4.46,2.75
0.33,Very Good,I,SI1,63.2,58,572,4.38,4.36,2.76
0.33,Good,I,SI1,63.6,57,572,4.42,4.39,2.8
0.42,Very Good,G,SI2,59.5,61,573,4.85,4.9,2.9
0.34,Ideal,G,VS2,61.6,56,573,4.48,4.51,2.77
0.3,Ideal,F,VS2,61.6,56,573,4.3,4.33,2.66
0.3,Ideal,F,VS2,61.9,56,573,4.32,4.34,2.68
0.3,Ideal,F,VS2,62.2,55,573,4.3,4.32,2.68
0.3,Ideal,F,VS2,62.5,54,573,4.29,4.32,2.69
0.3,Ideal,F,VS2,62.3,55,573,4.3,4.34,2.69
0.3,Ideal,F,VS2,61.1,56,573,4.36,4.38,2.67
0.3,Ideal,F,VS2,60.9,56,573,4.35,4.39,2.66
0.3,Ideal,F,VS2,61.9,54,573,4.29,4.33,2.67
0.3,Ideal,F,VS2,61.7,58,573,4.28,4.31,2.65
0.92,Premium,E,SI2,61.8,59,3679,6.19,6.11,3.8
0.76,Ideal,F,VS1,62.2,56,3680,5.83,5.87,3.64
0.9,Very Good,G,SI1,63,57,3681,6.13,6.19,3.88
1.01,Very Good,G,SI2,62,58,3682,6.41,6.46,3.99
0.91,Premium,F,SI2,61.4,60,3682,6.21,6.23,3.82
0.8,Ideal,D,SI2,61.9,54,3682,5.98,5.96,3.7
0.7,Ideal,F,VVS1,62.5,57,3683,5.62,5.67,3.53
0.92,Premium,F,SI1,62.6,59,3684,6.23,6.19,3.89
0.93,Very Good,I,SI1,58.9,60,3685,6.43,6.48,3.8
0.84,Ideal,D,SI1,62.4,57,3685,6.03,6.08,3.78
1,Premium,J,VS2,62,62,3685,6.42,6.35,3.96
1,Premium,J,VS2,60.7,61,3685,6.5,6.41,3.92
1.02,Premium,F,SI2,62.5,58,3686,6.4,6.47,4.02
1.21,Ideal,I,I1,61.3,57,3686,6.94,6.89,4.24
0.91,Very Good,F,SI2,61.2,59,3688,6.2,6.22,3.8
1.12,Ideal,I,SI2,62.4,57,3688,6.69,6.62,4.15
0.96,Fair,F,SI2,65.2,58,3688,6.14,6.12,3.99
0.9,Premium,D,SI1,59.5,57,3689,6.29,6.21,3.72
0.9,Very Good,E,SI1,60.7,61,3689,6.17,6.19,3.75
0.81,Very Good,F,VS1,62.7,56,3689,5.92,5.98,3.73
0.9,Good,D,SI1,63.6,63,3689,6.07,6.03,3.85
0.9,Fair,D,SI1,64.8,59,3689,6.1,6.03,3.93
0.9,Fair,D,SI1,64.5,61,3689,6.05,6.01,3.89
0.9,Good,D,SI1,64.1,56,3689,6.07,6.04,3.88
0.9,Good,D,SI1,63.9,57,3689,6.1,6.04,3.88
0.72,Premium,F,VVS1,62.8,58,3689,5.75,5.68,3.59
0.93,Premium,G,SI2,62.2,55,3689,6.27,6.24,3.89
0.71,Good,D,VS1,64.2,58,3690,5.65,5.6,3.61
0.72,Ideal,E,VS1,62.1,54,3690,5.74,5.76,3.57
1,Good,J,SI1,61.7,62,3690,6.37,6.4,3.94
0.96,Premium,H,SI2,59.4,56,3690,6.47,6.42,3.83
1.1,Ideal,F,I1,61.3,57,3690,6.68,6.62,4.08
0.94,Very Good,D,SI2,60.9,62,3691,6.22,6.3,3.81
0.71,Very Good,F,VVS1,61.8,58,3692,5.63,5.73,3.51
0.77,Very Good,F,VS2,62.6,55,3692,5.85,5.88,3.67
1.03,Ideal,G,SI2,60.4,56,3692,6.56,6.53,3.95
1.11,Premium,I,SI2,61.3,59,3692,6.69,6.63,4.09
1.03,Very Good,F,SI2,63.3,59,3692,6.35,6.32,4.01
1.03,Ideal,H,SI2,60.5,57,3692,6.58,6.52,3.96
1.23,Fair,E,I1,67.4,56,3692,6.76,6.56,4.49
0.97,Ideal,H,SI2,61.6,55,3694,6.37,6.32,3.91
0.74,Ideal,F,VS1,62,54,3694,5.85,5.81,3.62
1.21,Premium,J,VS2,59,60,3694,6.93,6.88,4.07
1,Ideal,F,SI2,62.3,56,3696,6.34,6.27,3.93
1.1,Good,H,SI2,57.6,61,3696,6.82,6.73,3.9
1,Good,E,SI2,57.7,65,3696,6.55,6.59,3.79
1.2,Very Good,H,I1,58.6,57,3696,6.96,7.01,4.09
0.9,Good,F,SI1,64,59,3696,5.97,5.99,3.83
1,Fair,E,SI1,66.5,55,3696,6.21,6.19,4.12
1,Premium,G,SI2,59.1,59,3696,6.54,6.5,3.85
1,Good,E,SI1,57.6,65,3696,6.47,6.44,3.72
1.1,Premium,G,SI2,63,59,3696,6.5,6.47,0
1.1,Premium,I,SI2,62.4,59,3696,6.55,6.51,4.08
1.1,Premium,J,VS2,61.2,57,3696,6.66,6.61,4.06
1.5,Good,I,I1,63.7,61,3696,7.22,7.1,4.57
1.2,Fair,H,SI2,65.6,57,3696,6.73,6.57,4.36
0.75,Ideal,D,VS1,62.4,54,3696,5.86,5.84,3.65
0.77,Ideal,E,VS1,62,56,3697,5.87,5.9,3.65
0.9,Very Good,E,SI2,63.5,58,3697,6.08,6.14,3.88
0.92,Ideal,G,SI2,63,57,3697,6.16,6.13,3.87
0.9,Fair,H,VS2,64.7,58,3697,5.98,6.01,3.88
0.82,Premium,E,VS2,59.7,61,3697,6.08,6.04,3.62
1.31,Premium,J,SI2,59.7,59,3697,7.06,7.01,4.2
1.01,Good,J,SI1,63.6,54,3699,6.44,6.36,4.07
0.9,Very Good,F,SI1,63.8,54,3699,6.09,6.13,3.9
0.9,Very Good,F,SI1,63.4,57,3699,6.06,6.11,3.86
0.9,Good,F,SI1,58,58,3699,6.24,6.28,3.63
1,Fair,G,SI1,66.1,62,3700,6.1,6.03,4.01
1.12,Very Good,G,SI2,63.4,57,3700,6.51,6.47,4.12
1.08,Premium,G,SI2,59.3,61,3701,6.66,6.61,3.94
1.02,Premium,H,SI2,59.2,59,3701,6.57,6.54,3.88
0.9,Good,H,VS2,63.6,61,3701,6.03,5.97,3.8
0.9,Premium,E,SI2,59.2,60,3701,6.31,6.23,3.71
0.71,Ideal,F,VS1,61.1,56,3701,5.76,5.8,3.53
0.71,Ideal,F,VS1,61,56,3701,5.77,5.8,3.53
0.71,Good,F,VS1,61.8,57,3701,5.73,5.76,3.55
0.77,Ideal,F,SI1,61.7,56,3702,5.85,5.91,3.63
0.91,Premium,E,SI2,61.1,59,3703,6.2,6.24,3.8
0.91,Very Good,E,SI2,62.8,61,3703,6.07,6.09,3.82
0.91,Very Good,I,SI1,62.8,57,3703,6.09,6.18,3.85
0.9,Premium,F,SI2,60.5,57,3704,6.23,6.2,3.76
0.9,Ideal,F,SI2,62.6,57,3704,6.2,6.13,3.86
0.9,Premium,F,SI2,60.1,59,3704,6.31,6.24,3.77
0.9,Premium,F,SI2,62.3,57,3704,6.18,6.15,3.84
0.9,Premium,F,SI2,58,57,3704,6.41,6.34,3.7
0.9,Premium,F,SI2,61.5,59,3704,6.23,6.2,3.82
0.9,Premium,F,SI2,62,61,3704,6.16,6.14,3.81
0.9,Premium,F,SI2,61.4,62,3704,6.2,6.11,3.78
0.9,Premium,F,SI2,60.3,55,3704,6.35,6.28,3.81
0.73,Very Good,F,VVS2,62.1,57,3705,5.74,5.76,3.57
0.85,Very Good,F,VS2,62.2,56,3705,6.01,6.08,3.76
0.71,Ideal,F,VVS2,61.2,55,3705,5.73,5.84,3.54
0.9,Very Good,D,SI2,62.9,59,3706,6.06,6.15,3.84
0.92,Very Good,D,SI2,63.7,57,3707,6.12,6.21,3.93
0.77,Ideal,H,VVS2,61.3,56,3707,5.91,5.94,3.63
0.72,Ideal,H,VVS1,61.8,56,3708,5.75,5.78,3.56
0.9,Very Good,I,VS2,58.7,60,3709,6.28,6.35,3.71
0.9,Very Good,I,VS2,60.7,59,3709,6.23,6.26,3.79
0.9,Very Good,I,VS2,63,60,3709,6.15,6.17,3.88
0.9,Very Good,I,VS2,59.9,58,3709,6.17,6.22,3.71
1.01,Very Good,F,SI2,59.5,57,3709,6.61,6.66,3.95
0.92,Premium,H,SI1,59,59,3709,6.36,6.31,3.74
0.86,Ideal,D,SI1,62.8,56,3709,6.05,6.08,3.81
0.91,Very Good,H,SI1,63.4,59,3710,6.12,6.09,3.87
0.75,Ideal,F,VVS2,61.9,54,3710,5.83,5.84,3.61
0.79,Ideal,I,VS2,60.9,56,3710,5.97,5.99,3.64
0.71,Ideal,F,VS1,60.9,57,3710,5.76,5.78,3.51
0.71,Ideal,F,VS1,60.8,56,3710,5.81,5.82,3.54
0.71,Ideal,F,VS1,61.5,56,3710,5.72,5.76,3.53
0.71,Ideal,F,VS1,61.9,56,3710,5.7,5.74,3.54
0.71,Ideal,F,VS1,61.4,56,3710,5.75,5.78,3.54
0.71,Ideal,F,VS1,61.5,57,3710,5.71,5.77,3.53
0.71,Ideal,F,VS1,61.3,56,3710,5.69,5.75,3.51
0.71,Ideal,F,VS1,60.9,56,3710,5.76,5.79,3.52
0.71,Ideal,F,VS1,61.9,56,3710,5.69,5.72,3.53
0.71,Ideal,F,VS1,61.8,55,3710,5.71,5.73,3.54
0.71,Ideal,F,VS1,61.5,56,3710,5.72,5.75,3.52
0.71,Ideal,F,VS1,61.4,57,3710,5.72,5.73,3.52
0.91,Very Good,G,SI1,63.5,61,3710,6.1,6.05,3.86
1.16,Premium,D,I1,61.8,59,3711,6.78,6.74,4.18
1,Premium,I,SI2,61.6,59,3712,6.34,6.41,3.93
1,Premium,J,SI1,60.8,58,3712,6.39,6.44,3.9
0.75,Ideal,D,SI1,61.1,56,3712,5.85,5.9,3.59
1.02,Premium,I,VS2,61.1,59,3713,6.4,6.37,3.9
0.78,Ideal,E,VS2,61.1,55,3713,5.99,5.96,3.65
0.92,Very Good,G,SI2,62.4,60,3713,6.18,6.22,3.87
0.8,Ideal,F,VS2,61.2,58,3713,5.99,6.03,3.68
1,Premium,G,SI2,61.4,61,3713,6.35,6.32,3.89
1.02,Premium,I,SI1,60.2,60,3713,6.45,6.39,3.87
1.02,Good,H,SI2,64.3,60,3713,6.36,6.25,4.06
1.02,Premium,H,SI2,61.3,57,3713,6.51,6.45,3.97
1,Very Good,G,SI2,63.1,63,3713,6.33,6.23,3.96
1.02,Very Good,H,SI2,63.4,63,3713,6.36,6.32,4.02
1.02,Premium,H,SI2,60.8,58,3713,6.48,6.45,3.93
1.02,Ideal,H,SI2,62,56,3713,6.4,6.34,3.95
1.02,Ideal,I,SI1,62.1,56,3713,6.44,6.39,3.98
0.9,Premium,F,SI1,61.3,58,3714,6.13,6.08,3.74
0.73,Ideal,E,VVS2,62,57,3714,5.79,5.73,3.57
0.9,Very Good,E,SI2,61.6,58,3715,6.18,6.23,3.82
0.9,Very Good,E,SI2,62.2,54,3715,6.13,6.21,3.84
0.79,Ideal,E,SI1,61.6,55,3715,5.94,6.04,3.69
0.76,Ideal,F,VVS2,60.9,57,3716,5.89,5.96,3.61
0.71,Ideal,D,VS1,60.9,58,3716,5.72,5.78,3.5
0.97,Good,J,VS2,60,56,3717,6.4,6.46,3.86
1.01,Premium,F,SI2,60,60,3717,6.46,6.4,3.86
1.01,Good,I,VS2,57.1,63,3717,6.6,6.56,3.76
0.75,Very Good,E,VS2,63,57,3718,5.81,5.78,3.65
0.9,Very Good,G,SI1,63.6,57,3718,6.07,6.13,3.88
0.9,Ideal,G,SI2,62.3,56,3718,6.14,6.21,3.85
0.9,Good,I,VVS2,64.8,55,3718,6.04,6.15,3.95
0.71,Premium,D,VS1,59.2,59,3718,5.9,5.85,3.48
1.04,Ideal,F,I1,61.6,57,3718,6.51,6.46,4
0.72,Very Good,E,VVS2,62,58,3719,5.71,5.74,3.55
0.73,Very Good,F,VVS1,60.6,56,3720,5.79,5.83,3.52
0.9,Very Good,I,VS2,61.2,57,3720,6.15,6.2,3.78
0.8,Very Good,F,VS1,62.6,57,3720,5.9,5.98,3.72
0.8,Very Good,F,VS1,62.3,57,3720,5.92,5.95,3.7
0.9,Premium,I,VS1,61,55,3720,6.29,6.27,3.83
0.77,Ideal,D,VS2,61.8,56,3721,5.84,5.9,3.63
1.01,Premium,J,VS2,61,61,3722,6.28,6.22,3.81
0.9,Ideal,G,SI2,61.5,57,3722,6.07,6.19,3.77
0.72,Ideal,D,SI1,61.2,56,3722,5.77,5.79,3.54
0.96,Very Good,G,SI2,62.6,59,3723,6.18,6.29,3.9
0.91,Ideal,E,SI2,61.1,58,3723,6.25,6.29,3.83
0.91,Ideal,E,SI2,61.8,53,3723,6.22,6.3,3.87
0.92,Good,I,VS1,60.9,63,3723,6.27,6.34,3.84
1.12,Premium,F,SI2,62.4,59,3723,6.6,6.54,4.1
0.95,Premium,G,SI2,59.5,56,3724,6.41,6.36,3.8
0.7,Very Good,E,VVS1,62.5,56,3724,5.63,5.7,3.54
0.7,Very Good,E,VVS1,60.9,59,3724,5.67,5.81,3.5
0.9,Very Good,F,SI1,61.6,56,3724,6.14,6.2,3.8
0.9,Good,F,SI1,63.1,57,3724,6.12,6.15,3.87
0.92,Very Good,G,SI1,63.8,57,3724,6.13,6.16,3.92
1.25,Premium,F,I1,58,59,3724,7.12,7.05,4.11
0.9,Ideal,I,VS1,61.8,56,3724,6.2,6.23,3.84
0.9,Good,E,SI2,62.1,63,3724,6.09,6.12,3.79
0.92,Premium,I,VS1,61.4,58,3725,6.23,6.27,3.84
0.7,Very Good,G,IF,63,59,3725,5.58,5.62,3.53
0.7,Ideal,G,VVS2,61.6,57,3725,5.74,5.71,3.53
0.9,Fair,H,VS2,64.6,54,3725,6.09,6.14,3.95
1.21,Good,E,I1,63.3,63,3726,6.67,6.72,4.24
0.91,Very Good,F,SI2,61.4,60,3726,6.13,6.16,3.77
1.1,Premium,J,SI2,59.6,59,3726,6.74,6.72,4.01
0.91,Ideal,I,VS2,62.2,59,3726,6.13,6.18,3.83
0.9,Good,H,SI1,57.1,56,3726,6.33,6.28,3.6
1.08,Very Good,E,SI2,63.5,56,3726,6.53,6.48,4.13
1.13,Ideal,E,I1,62,55,3729,6.66,6.7,4.14
1.03,Very Good,J,SI2,58,60,3729,6.64,6.67,3.86
0.97,Ideal,H,SI2,60.7,55,3729,6.47,6.41,3.91
1.11,Very Good,J,VS2,63.2,59,3730,6.55,6.46,4.11
0.9,Very Good,I,SI1,60.6,56,3730,6.23,6.28,3.79
0.9,Good,H,SI1,61.4,60,3730,6.06,6.12,3.74
0.91,Fair,D,SI1,64.7,61,3730,6.06,5.99,3.9
0.91,Fair,D,SI1,65.2,57,3730,6.08,6.04,3.95
0.91,Good,D,SI1,64,58,3730,6.09,6.06,3.89
0.9,Premium,I,VVS2,60.9,59,3730,6.25,6.22,3.8
1.11,Fair,H,SI2,64.4,58,3730,6.55,6.5,4.2
0.9,Premium,H,SI1,60.7,59,3730,6.26,6.19,3.78
0.98,Very Good,H,SI2,62.1,59,3731,6.33,6.39,3.95
1.01,Ideal,J,SI2,61.6,55,3732,6.45,6.5,3.99
1.01,Premium,H,SI2,59.6,60,3732,6.55,6.5,3.89
0.58,Ideal,D,VVS1,62.1,55,3732,5.33,5.37,3.32
0.76,Ideal,D,SI1,62.3,55,3732,5.81,5.84,3.63
0.8,Ideal,H,VVS1,61.8,57,3732,5.93,5.89,3.65
1.19,Ideal,H,I1,61.5,57,3732,6.83,6.79,4.19
1.27,Premium,I,I1,60.2,62,3732,7.05,7,4.23
1.01,Ideal,F,SI2,62.4,56,3733,6.44,6.38,4
1.01,Premium,F,SI2,62.7,58,3733,6.38,6.32,3.98
1.15,Good,J,SI2,63.8,60,3733,6.63,6.56,4.21
1.01,Good,G,SI1,64.3,55,3733,6.34,6.31,4.07
0.9,Good,F,SI1,61,62,3733,6.17,6.26,3.79
1.01,Premium,H,SI2,60.8,59,3733,6.51,6.46,3.94
1.01,Ideal,I,SI2,61.9,55,3733,6.45,6.38,3.97
1.01,Fair,H,VS2,65.2,56,3733,6.23,6.19,4.05
1.01,Premium,J,SI2,61.2,59,3733,6.43,6.37,3.92
0.9,Good,G,SI1,62.8,59,3734,6.08,6.12,3.83
0.9,Good,G,SI1,63.8,59,3734,6.05,6.08,3.87
0.9,Premium,G,SI1,62.2,60,3734,6.1,6.16,3.81
0.9,Good,G,SI1,63.2,59,3734,6.05,6.1,3.84
0.91,Very Good,H,SI1,62.2,60,3734,6.16,6.22,3.85
0.9,Good,I,IF,63.7,64,3734,6.02,6.07,3.85
0.9,Good,H,VS1,64,59,3734,6.01,6.05,3.86
0.9,Very Good,G,SI1,62,61,3734,6.07,6.13,3.78
0.9,Good,G,SI1,63.1,59,3734,6.11,6.15,3.87
0.9,Good,G,SI1,63.7,58,3734,6.09,6.12,3.89
0.9,Good,G,SI1,63.7,60,3734,6.07,6.11,3.88
0.91,Very Good,H,SI1,62.8,58,3734,6.13,6.16,3.86
0.91,Very Good,I,VS1,61.9,57,3734,6.19,6.24,3.85
0.9,Good,H,SI1,58.9,61,3734,6.27,6.36,3.72
1.13,Premium,I,SI2,62.1,60,3734,6.74,6.66,4.16
1.51,Fair,F,I1,67.8,59,3734,7.09,7,4.78
1.51,Fair,F,I1,67.5,56,3734,7.17,7.05,4.8
0.73,Ideal,D,VS2,62.6,55,3735,5.71,5.76,3.59
1.14,Good,I,SI2,60,65,3735,6.8,6.75,4.06
1.15,Premium,H,SI2,59.6,59,3735,6.82,6.78,4.05
0.78,Ideal,D,VS2,62.9,56,3736,5.85,5.88,3.69
0.78,Ideal,G,VS1,61.6,55,3736,5.91,5.94,3.65
0.9,Good,E,SI2,63,58,3736,6.08,6.11,3.84
0.8,Very Good,H,VVS1,61.9,56,3737,5.93,5.96,3.69
1.01,Good,E,SI2,63.9,58,3737,6.37,6.31,4.05
0.7,Ideal,D,VVS2,60.9,59,3737,5.69,5.73,3.48
0.93,Very Good,G,SI2,62.7,57,3738,6.21,6.26,3.91
1.03,Ideal,J,SI1,62.3,57,3738,6.48,6.43,4.02
0.71,Ideal,G,IF,60.9,57,3739,5.74,5.79,3.51
1.01,Ideal,G,SI2,61.5,57,3739,6.42,6.46,3.96
1.19,Very Good,G,SI2,63.4,56,3739,6.69,6.56,4.2
1,Good,H,SI2,63.2,60,3740,6.27,6.3,3.97
0.75,Ideal,G,VVS2,62,56,3740,5.79,5.85,3.61
1,Fair,F,SI2,65.1,60,3740,6.19,6.1,4
0.72,Ideal,F,VVS2,62.3,57,3740,5.72,5.74,3.57
1.06,Premium,J,SI2,61.3,60,3740,6.59,6.52,4.02
0.9,Premium,D,SI2,61,59,3740,6.18,6.14,3.76
0.9,Good,D,SI2,63.8,58,3740,6.13,6.09,3.9
0.9,Premium,D,SI2,62.3,58,3740,6.27,6.05,3.84
0.9,Good,D,SI2,63.6,57,3740,6.07,6.03,3.85
0.7,Ideal,F,VVS2,61.9,54.8,3741,5.68,5.72,3.53
0.58,Ideal,D,VVS1,62.2,56,3741,5.34,5.36,3.33
0.9,Good,I,VVS1,63.9,63,3741,6.04,6.07,3.87
1.08,Good,J,SI2,63.2,59,3742,6.4,6.57,4.1
1.05,Very Good,I,SI2,62.3,59,3742,6.42,6.46,4.01
0.87,Premium,D,SI1,58.8,56,3742,6.3,6.26,3.69
1.09,Very Good,D,SI2,63.4,59,3742,6.59,6.54,4.16
0.91,Premium,E,SI2,61.6,60,3743,6.14,6.1,3.77
0.91,Ideal,H,VS2,63,56,3743,6.15,6.05,3.84
1.03,Good,D,SI2,57.2,59,3743,6.66,6.63,3.8
0.9,Fair,E,SI1,64.9,56,3743,6.12,6.18,3.99
1.03,Fair,D,SI2,66.4,56,3743,6.31,6.19,4.15
0.92,Good,E,SI2,61.8,59,3744,6.11,6.19,3.8
0.78,Very Good,F,VS1,61.7,55,3744,5.89,5.94,3.65
0.93,Good,D,SI2,59.2,62,3744,6.36,6.38,3.77
1.02,Very Good,J,SI2,63.3,56,3745,6.38,6.42,4.05
1.13,Ideal,H,I1,62.2,55,3745,6.69,6.65,4.15
1.1,Premium,F,I1,59.8,61,3745,6.7,6.65,3.99
1.1,Ideal,F,I1,61.8,56,3745,6.65,6.61,4.1
1.52,Fair,I,I1,67.7,58,3745,7.07,7,4.76
0.91,Premium,F,SI2,62.6,58,3746,6.14,6.09,3.83
0.9,Very Good,J,VVS1,60.4,60,3746,6.23,6.28,3.78
0.72,Ideal,F,VVS2,60.9,56,3746,5.77,5.83,3.53
0.93,Very Good,E,SI2,63,58,3746,6.16,6.18,3.89
1.13,Premium,G,I1,61.2,58,3746,6.77,6.66,4.11
0.91,Premium,F,SI2,58.2,61,3746,6.58,6.41,3.77
0.91,Very Good,F,SI2,63.3,54,3746,6.22,6.14,3.91
